stationId,stationName,latitude,longitude
ST-169,353. 재동초교 앞 삼거리,37.57938766,126.98494720
ST-170,354. 포르투갈 대사관 앞,37.57915497,126.98896027
ST-171,355. 서울사대부설초등학교 앞,37.57650757,127.00245667
ST-172,356. KT혜화지사 앞,37.57714462,127.00205994
ST-173,358. 성균관대입구 사거리 A,37.58250046,126.99853516
ST-174,359. 원남동사거리,37.57606125,126.99768066
ST-175,361. 동묘앞역 1번출구 뒤,37.57324219,127.01590729
ST-176,362. 청계8가사거리 A,37.57223511,127.02317810
ST-177,363. 신설동역 11번출구 뒤,37.57559204,127.02285004
ST-178,364. 창신역 1번출구 앞,37.57933426,127.01508331
ST-180,367. 독립문역 3-1번출구 ,37.57415771,126.95851898
ST-181,368. SK 서린빌딩 앞,37.56924820,126.98053741
ST-185,370. 시청역(2호선) 9번출구 뒤,37.56322861,126.97483826
ST-186,371. 동대입구역 6번출구 뒤,37.55887222,127.00553894
ST-187,372. 약수역 3번출구 뒤,37.55429459,127.01119995
ST-189,374. 청구역 2번출구 앞,37.56047440,127.01407623
ST-194,379. 서울역9번출구,37.55599976,126.97335815
ST-195,380. CJ제일제당 앞,37.56386566,127.00274658
ST-196,381. 장충체육관,37.55853271,127.00698853
ST-197,382. 약수역 10번출구 앞,37.55519867,127.01004791
ST-198,383. 신당역 12번 출구 뒤,37.56584930,127.01640320
ST-199,384. 종로학원본원 ,37.55978012,126.96850586
ST-336,385. 종각역 5번출구,37.56983566,126.98265839
ST-338,387. 훈련원공원주차장 앞,37.56699371,127.00346375
ST-444,388. 동성중학교 앞,37.58573532,127.00160980
ST-943,389. 을지로4가역 1번출구,37.56673050,126.99660492
ST-944,390. 충무로역 1번출구,37.56138992,126.99535370
ST-977,391. 시립미술관,37.56505203,126.97340393
ST-1372,393. 동대문역 8번 출구,37.57014084,127.00937653
ST-1373,394. 경희궁 자이 3단지,37.56748962,126.96591949
ST-1374,395. 경희궁 자이 2단지,37.56885529,126.96456146
ST-1432,397. 종묘공영주차장 건너편,37.57048035,126.99663544
ST-1435,398. 을지로3가역 3번출구,37.56655884,126.99243927
ST-1436,399. 서울역 센트럴 자이아파트,37.55410767,126.96540833
ST-110,400. 상암한화오벨리스크 1차 앞,37.58752441,126.88300323
ST-76,401. 상암월드컵파크 10단지 앞,37.58618927,126.88161469
ST-77,402. 상암월드컵파크 9단지 앞,37.58292770,126.87983704
ST-78,403. 부엉이공원 앞,37.58559036,126.88472748
ST-80,405. DMC빌 앞,37.58265686,126.88578796
ST-81,406. 상암월드컵파크 7단지 앞,37.58111191,126.88087463
ST-83,407. 마포구 육아종합지원센터,37.58063126,126.88367462
ST-84,408. LG CNS앞,37.58081055,126.88665009
ST-86,409. 누리꿈스퀘어 옆,37.57939911,126.88916016
ST-88,410. 상암중학교 옆,37.57739258,126.88747406
ST-90,411. DMC홍보관,37.57799530,126.89147186
ST-91,412. DMC산학협력연구센터 앞,37.57565689,126.89079285
ST-94,414. 상암동주민센터 옆,37.57822037,126.89447021
ST-95,415. DMC역 9번출구 앞,37.57746887,126.89736176
ST-96,416. 상암월드컵파크 1단지 교차로,37.57566452,126.89444733
ST-93,417. DMC역 2번출구 옆,37.57506943,126.89991760
ST-89,418. 월드컵경기장역 3번출구 옆,37.57048035,126.89889526
ST-87,419. 홈플러스 마포점 앞,37.56842041,126.89942932
ST-85,420. 서울시 공공자전거 상암센터,37.56624603,126.89617920
ST-82,421. 마포구청 앞,37.56574631,126.90186310
ST-968,422. 문화비축기지,37.56897736,126.89440155
ST-990,424. 롯데하이마트 (상암월드컵점),37.57361984,126.89804840
ST-991,425. DMC첨단산업센터,37.58450317,126.88559723
ST-992,426. 서울신용보증재단,37.54906082,126.95417786
ST-1397,427. 성산시영아파트,37.56937790,126.90402985
ST-1437,428. 명보사거리,37.56439972,126.99143219
ST-1438,429. 송도병원,37.54988861,127.00734711
ST-1439,430. 장충동먹자골목 앞,37.56212616,127.00625610
ST-1440,431. 청계천 영도교,37.57101440,127.01974487
ST-1494,432. 마포중앙도서관,37.56333923,126.90820312
ST-1668,433. 을지로입구역 2번출구,37.56634521,126.98229218
ST-1669,434. 신당 래미안 버스정류장,37.56148911,127.02393341
ST-1670,435. SK 남산빌딩,37.55686188,126.97561646
ST-1675,436. 이대역 5번출구,37.55659103,126.94618988
ST-1691,437. 대흥역 1번출구,37.54846954,126.94092560
ST-1692,438. 성산2-1 공영주차장,37.56472015,126.90676880
ST-1754,440. 하늘공원 입구,37.57012177,126.88134766
ST-1761,441.염천교사거리,37.55989075,126.97149658
ST-1768,442.서울역 서부,37.55641556,126.96919250
ST-1769,443.호암아트홀,37.56211090,126.97071838
ST-1771,445.대한상공회의소,37.56015396,126.97410583
ST-938,446. 상명대입구,37.60012817,126.95783234
ST-939,447. 신영동삼거리,37.60399246,126.96194458
ST-941,449. 일성아파트,37.60871887,126.97286224
ST-978,450. 효자동 삼거리,37.58360291,126.97254944
ST-979,451. 청와대앞길,37.58351517,126.97966766
ST-1605,452. 동대문 종합시장 버스정류장,37.57123947,127.00440979
ST-1606,453. 종로오가 지하쇼핑센터 14번출구,37.57114029,127.00067139
ST-1607,454. 종로2가 버스정류장 (종각방향),37.57035828,126.98638153
ST-1608,455. 종로6가역 버스정류장(동대문 방향),37.57096100,127.00605774
ST-1609,456. 숭인2동 주민센터 입구,37.57447052,127.01982880
ST-1610,457. 종로꽃시장 입구 옆,37.57131958,127.00720978
ST-1611,458. 광화문역 5번출구,37.56989288,126.97756958
ST-1619,461. 서울지방경찰청,37.57436371,126.97236633
ST-1756,464. 삼청동 골목,37.58419037,126.98169708
ST-1759,465. 삼청공원 앞,37.58760452,126.98359680
ST-1772,466.롯데호텔,37.56584167,126.97981262
ST-1773,467.한국은행,37.56221390,126.98086548
ST-1774,468.웨스틴 조선호텔,37.56415939,126.97948456
ST-1775,469.회현역 1번출구,37.55923080,126.98014069
ST-1776,470.회현역 7번출구,37.55974579,126.98000336
ST-1777,471.회현사거리 남측,37.56035995,126.98265076
ST-1778,472.삼일교(시그니쳐 타워),37.56787109,126.98840332
ST-1779,473.을지로4가역 9번출구,37.56605148,126.99798584
ST-1780,474.동대문역사문화공원역 1번출구 뒤편,37.56629944,127.00849152
ST-1781,475.DDP 패션몰,37.56764984,127.01181030
ST-1782,476.광희문,37.56443024,127.00995636
ST-1783,477.앰배서더 호텔 주변,37.55928802,127.00268555
ST-1785,479.동대입구역 3번 출구,37.55937576,127.00602722
ST-1786,480.약수역 6번 출구,37.55432129,127.01070404
ST-1789,483.남산타운아파트 버스정류장,37.54758453,127.00643921
ST-1791,485.서울역5번출구,37.55677032,126.97319794
ST-2019,486. 평창동주민센터 앞,37.60627365,126.96832275
ST-2147,488.푸르메병원,37.58456802,126.88021088
ST-2148,489.구룡근린공원,37.58320236,126.88276672
ST-2149,490.가온문화공원,37.58207703,126.88766479
ST-2150,491.월드컵파크 4단지,37.57597733,126.88806915
ST-2152,493.홍대입구역 6번출구,37.55657578,126.92885590
ST-2153,494.신수동주민센터,37.54724503,126.93502808
ST-2154,495.염리초등학교 앞,37.54243088,126.94699860
ST-2156,497.합정동주민센터 앞,37.55175400,126.91230011
ST-2157,498.연남동주민센터 앞,37.56465149,126.92212677
ST-97,500. 어린이대공원역 3번출구 앞,37.54706955,127.07427216
ST-98,501. 광진구의회 앞,37.53730774,127.07035065
ST-99,502. 자양(뚝섬한강공원)역 1번출구 앞,37.53186035,127.06719208
ST-102,505. 자양사거리 광진아크로텔 앞,37.53701019,127.08224487
ST-103,506. 금호 어울림 아파트 앞,37.54906082,127.05779266
ST-107,510. 뚝도아리수정수센터 버스정류소 옆,37.54122162,127.04380035
ST-108,511. 서울숲역 5번 출구 옆,37.54458237,127.04460907
ST-109,512. 뚝섬역 1번 출구 옆,37.54856110,127.04500580
ST-111,513. 뚝섬역 5번 출구 정류소 옆,37.54630661,127.04980469
ST-112,514. 성수사거리 버스정류장 앞,37.54257965,127.06330872
ST-114,516. 광진메디칼 앞,37.54840469,127.06936646
ST-234,518. 청계천 박물관 앞,37.57152557,127.03535461
ST-235,519. 양지사거리,37.56699371,127.02991486
ST-236,520. 상왕십리역 4번 출구 앞,37.56385803,127.03031921
ST-237,521. 왕십리역 11번 출구 앞,37.56144714,127.03491974
ST-238,522. 금호역 1번출구 앞,37.54864120,127.01642609
ST-239,523. 옥수동성당 옆,37.54366302,127.01406097
ST-240,524. 래미안금호하이리버 아파트 102동 옆,37.55220032,127.02505493
ST-241,525. 한양대병원사거리,37.55805206,127.04035187
