88,223000118
53,223000119
8906,234001235
57,223000123
56-2,223000124
56,223000125
55,223000126
8608-1수원-울산,241007132
N7200-1(고양),241007214
31-5,224000006
350,229000081
19-1,229000086
2300,229000096
30-20,222000065
777번,229000098
2000-1번,229000099
71-2,216000008
22-2,229000104
2500,229000105
351,229000106
16,229000107
30-21,222000198
83-3,228000167
75,235000011
85-2,228000172
8707안산-점촌,241007055
5800,228000185
1503 동서울-여수,241000510
8231-1안산-강릉,241001741
1706동서울-안동,241000550
8514성남-여수,241003670
3333,999000108
72-1,228000205
개성공단,249000001
76-10,228000212
8207여주-원주,241006876
75-1,228000215
3-1,228000216
1231동서울-양평-홍천,241006995
13-1,228000237
82-2,228000243
87-2,228000244
87-3,228000245
87-1,228000247
5-1,200000077
98,228000257
14-2,228000260
13,228000261
76-11,228000225
89-1,228000264
6-1,228000265
8506수원-무안,241006908
74-1,228000272
53-4,215000217
100,228000275
2-2,228000279
77-1,228000280
5000-1,228000282
5005-1번,228000283
5005-1,228000284
80,227000009
82,227000013
83,227000014
3901증평-인천공항,241007032
82,227000018
100,227000020
3,227000021
3-1,227000022
10,227000023
6,227000024
5-1,228000312
99,228000313
88A,228000314
88B,228000315
35,228000316
35-1,228000317
35-3,228000319
23,228000320
20,228000321
23-1A,228000322
20-1A,228000323
23-2,228000324
20-2,228000325
20-1B,228000326
23-1B,228000327
22,228000328
40,228000329
57,228000330
57-1,228000331
59,228000332
25-1,228000333
24,228000334
39,228000335
39-1,228000336
57-2,228000337
29,228000338
59-1,228000339
39-2,228000340
39-3,228000341
33,228000342
34,228000343
36,228000344
31,228000345
28,228000346
33-1,228000347
31-1,228000348
34-1,228000349
34-2,228000350
28-1,228000351
54,228000352
19,228000353
51,228000354
51-1,228000355
18(A),228000356
32,228000357
38,228000358
53,228000360
30,228000361
55,228000362
56,228000363
58,228000364
17(A),228000365
17(B),228000366
28-2,228000367
58-1,228000368
38-1,228000369
18(B),228000370
28-3,228000371
45A,228000372
45B,228000373
5-1,228000375
26,228000376
21,228000377
